Lap Number,Max VERSTAPPEN,Daniel RICCIARDO,Lando NORRIS,Sebastian VETTEL,Nicholas LATIFI,Pierre GASLY,Sergio PEREZ,Fernando ALONSO,Charles LECLERC,Lance STROLL,Kevin MAGNUSSEN,Yuki TSUNODA,Alexander ALBON,ZHOU Guanyu,Esteban OCON,Lewis HAMILTON,Mick SCHUMACHER,Carlos SAINZ,George RUSSELL,Valtteri BOTTAS
1,21:11:14,21:11:15,21:11:08,21:11:11,21:11:20,21:11:10,21:11:01,21:11:09,21:11:02,21:11:13,21:11:14,21:11:12,21:11:21,21:11:20,21:11:17,21:11:06,21:11:16,21:11:04,21:11:20,21:11:18
2,2:04.389,2:08.435,2:04.065,2:05.790,2:09.155,2:05.132,2:01.358,2:04.847,2:01.214,2:08.661,2:08.617,2:06.485,2:09.436,2:09.958,2:08.739,2:02.920,2:08.586,2:02.702,2:08.743,2:09.037
3,2:03.369,2:05.767,2:02.717,2:04.098,2:07.657,2:03.844,2:00.875,2:03.306,2:00.939,2:05.367,2:05.679,2:05.476,2:07.765,2:07.541,2:06.079,2:01.712,2:05.628,2:01.872,2:07.696,2:06.307
4,2:03.238,2:04.551,2:02.313,2:03.184,2:06.887,2:03.402,2:00.310,2:02.935,2:00.734,2:04.710,2:04.881,2:04.333,2:06.625,2:06.289,2:04.482,2:01.585,2:04.531,2:01.488,2:04.604,2:05.300
5,2:02.703,2:04.656,2:02.322,2:03.366,2:05.585,2:03.659,2:00.267,2:02.858,2:00.219,2:04.403,2:04.360,2:03.862,2:05.513,2:05.556,2:04.592,2:01.454,2:04.601,2:01.111,2:02.566,2:04.635
6,2:03.027,2:03.973,2:02.022,2:03.052,2:06.200,2:03.653,2:00.094,2:02.447,2:00.229,2:03.964,2:04.122,2:03.803,2:05.889,2:06.105,2:04.209,2:00.981,2:03.975,2:00.428,2:03.817,2:04.208
7,2:03.289,2:03.816,2:02.009,2:03.297,,2:03.128,2:00.714,2:02.399,2:00.138,2:03.323,,2:03.162,2:04.953,,2:04.065,2:00.460,2:04.039,2:00.833,2:10.503,2:05.534
7 (P),,,,,21:11:20,,,,,,21:11:14,,,,,,,,,
8,2:23.240,2:22.957,2:18.617,2:21.496,,2:19.609,2:15.730,2:17.774,2:16.598,2:24.030,3:06.525,2:22.256,2:27.674,,2:24.525,2:13.316,2:23.615,2:14.044,2:23.222,2:25.828
9,2:42.690,2:38.839,2:49.938,2:43.215,,2:43.943,3:02.306,2:48.597,3:02.958,2:37.465,2:35.888,2:41.673,2:36.241,,2:38.253,2:59.421,2:37.698,3:00.236,2:38.861,2:37.459
10,2:38.596,2:36.441,2:43.014,2:39.865,,2:41.360,2:49.136,2:42.370,2:47.301,2:37.318,2:04.183,2:38.012,2:27.761,,2:35.211,2:45.752,2:36.977,2:46.483,2:28.349,2:32.122
11,2:01.612,2:03.032,2:03.436,2:04.900,,2:04.843,1:59.580,2:02.788,2:00.177,2:03.997,2:01.895,2:03.513,2:03.609,,2:03.222,2:02.192,2:02.944,2:01.252,2:03.247,2:03.254
12,2:00.967,2:02.862,2:01.307,2:02.910,,2:03.028,1:59.473,2:01.994,1:59.328,2:03.049,2:02.043,2:03.167,2:03.271,,2:02.811,2:00.260,2:02.854,2:00.463,2:02.443,2:02.395
13,2:01.842,2:03.083,2:01.110,2:02.938,,2:02.941,1:59.434,2:01.844,1:59.653,2:03.193,2:02.299,2:03.129,2:02.652,,2:02.665,2:00.603,2:03.170,2:00.631,2:02.647,2:02.810
14,2:01.558,2:03.193,2:01.304,2:02.701,,2:02.308,1:59.429,2:01.474,1:59.603,2:02.999,2:02.769,2:03.167,2:03.222,,2:03.245,2:00.810,2:03.100,2:00.917,2:03.310,2:03.152
15,2:01.407,2:02.900,2:01.074,2:02.067,,2:01.994,1:59.018,2:01.425,1:59.357,2:02.272,2:02.496,2:02.582,2:03.057,,2:02.831,2:00.576,2:02.944,2:00.439,2:02.758,2:02.841
16,2:01.138,2:02.186,2:01.026,2:01.664,,2:01.484,1:59.358,2:00.911,1:59.359,2:02.335,2:02.777,2:02.443,2:03.125,,2:02.983,2:00.436,2:03.052,2:00.389,2:02.750,2:02.980
17,2:00.909,2:02.632,2:00.715,2:01.690,,2:01.533,1:59.238,2:00.964,1:58.983,2:02.808,2:02.798,2:02.801,2:03.446,,2:02.641,2:00.320,2:02.455,2:00.144,2:02.744,2:02.744
18,2:00.807,2:02.034,2:00.524,2:01.285,,2:01.284,1:58.905,2:00.709,1:59.115,2:02.165,2:02.811,2:01.737,2:03.364,,2:02.501,2:00.161,2:02.454,2:00.061,2:02.454,2:02.374
